WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.803,0.00049281,0.023267,MLW,0.25,0.13888
0.804,0.00049554,0.023489,MLW,0.25,0.13888
0.805,0.00047954,0.022831,MLW,0.25,0.13888
0.806,0.00049183,0.023525,MLW,0.25,0.13888
0.807,0.00048648,0.02335,MLW,0.25,0.13888
0.808,0.00048211,0.02323,MLW,0.25,0.13888
0.809,0.00047206,0.022818,MLW,0.25,0.13888
0.81,0.00046817,0.022695,MLW,0.25,0.13888
0.811,0.00047516,0.023113,MLW,0.25,0.13888
0.812,0.00047088,0.022939,MLW,0.25,0.13888
0.813,0.00046734,0.022799,MLW,0.25,0.13888
0.814,0.00045982,0.022251,MLW,0.25,0.13888
0.815,0.00045443,0.022066,MLW,0.25,0.13888
0.816,0.00044346,0.021268,MLW,0.25,0.13888
0.817,0.00044301,0.021358,MLW,0.25,0.13888
0.818,0.00043558,0.021066,MLW,0.25,0.13888
0.819,0.00043629,0.021472,MLW,0.25,0.13888
0.82,0.0004177,0.02047,MLW,0.25,0.13888
0.821,0.0004379,0.022037,MLW,0.25,0.13888
0.822,0.00042854,0.021555,MLW,0.25,0.13888
0.823,0.00040985,0.019615,MLW,0.25,0.13888
0.824,0.0004331,0.021888,MLW,0.25,0.13888
0.825,0.00043164,0.021922,MLW,0.25,0.13888
0.826,0.00043015,0.021818,MLW,0.25,0.13888
0.827,0.00043303,0.022212,MLW,0.25,0.13888
0.828,0.00042066,0.021208,MLW,0.25,0.13888
0.829,0.00042503,0.021796,MLW,0.25,0.13888
0.83,0.00041793,0.021525,MLW,0.25,0.13888
0.831,0.00040939,0.021176,MLW,0.25,0.13888
0.832,0.00041436,0.021411,MLW,0.25,0.13888
0.833,0.00040647,0.021349,MLW,0.25,0.13888
0.834,0.00040749,0.021408,MLW,0.25,0.13888
0.835,0.00041034,0.021772,MLW,0.25,0.13888
0.836,0.00041233,0.021878,MLW,0.25,0.13888
0.837,0.00040947,0.021887,MLW,0.25,0.13888
0.838,0.0004091,0.021924,MLW,0.25,0.13888
0.839,0.0003942,0.021221,MLW,0.25,0.13888
0.84,0.00040429,0.021848,MLW,0.25,0.13888
0.841,0.00040428,0.02191,MLW,0.25,0.13888
