WAVLEN_MCRN,TOTAL_RAD,ALBEDO,WVP_COL,GRND_RFLT
0.661,0.0011554,0,0.2,
0.662,0.0011685,0,0.2,
0.663,0.001147,0,0.2,
0.664,0.0011266,0,0.2,
0.665,0.0011305,0,0.2,
0.666,0.0011289,0,0.2,
0.667,0.0011166,0,0.2,
0.668,0.0011106,0,0.2,
0.669,0.0011227,0,0.2,
0.67,0.0011028,0,0.2,
0.671,0.0010935,0,0.2,
0.672,0.0010777,0,0.2,
0.673,0.0010844,0,0.2,
0.674,0.0010827,0,0.2,
0.675,0.0010629,0,0.2,
0.676,0.0010767,0,0.2,
0.677,0.0010528,0,0.2,
0.678,0.0010622,0,0.2,
0.679,0.001046,0,0.2,
0.68,0.0010373,0,0.2,
0.681,0.0010317,0,0.2,
0.682,0.0010278,0,0.2,
0.683,0.0010272,0,0.2,
0.684,0.0010074,0,0.2,
0.685,0.0010146,0,0.2,
0.686,0.00097019,0,0.2,
0.687,0.0007637,0,0.2,
0.688,0.0008298,0,0.2,
0.689,0.00082961,0,0.2,
0.69,0.00086479,0,0.2,
0.691,0.00089258,0,0.2,
0.692,0.00090643,0,0.2,
0.693,0.00091715,0,0.2,
0.694,0.00093057,0,0.2,
0.695,0.00092586,0,0.2,
0.696,0.00092941,0,0.2,
0.697,0.00094128,0,0.2,
0.698,0.00092006,0,0.2,
0.699,0.00092731,0,0.2,
0.7,0.00091135,0,0.2,
0.701,0.00089246,0,0.2,
0.702,0.00088271,0,0.2,
0.703,0.00088499,0,0.2,
0.704,0.00089205,0,0.2,
0.705,0.00089712,0,0.2,
0.706,0.00088397,0,0.2,
0.707,0.00086793,0,0.2,
0.708,0.0008874,0,0.2,
0.709,0.00085745,0,0.2,
0.71,0.0008711,0,0.2,
0.711,0.00085861,0,0.2,
0.712,0.00084663,0,0.2,
0.713,0.00083674,0,0.2,
0.714,0.0008473,0,0.2,
0.715,0.00081166,0,0.2,
0.716,0.00083015,0,0.2,
0.717,0.00077689,0,0.2,
0.718,0.00075441,0,0.2,
0.719,0.00072149,0,0.2,
0.72,0.00074121,0,0.2,
0.721,0.00075087,0,0.2,
0.722,0.00078713,0,0.2,
0.723,0.00076544,0,0.2,
0.724,0.00074857,0,0.2,
0.725,0.00073702,0,0.2,
0.726,0.00074376,0,0.2,
0.727,0.00074938,0,0.2,
0.728,0.00072972,0,0.2,
0.729,0.00070246,0,0.2,
0.73,0.00073962,0,0.2,
0.731,0.00071342,0,0.2,
0.732,0.00073676,0,0.2,
0.733,0.00073297,0,0.2,
0.734,0.00074799,0,0.2,
0.735,0.00073725,0,0.2,
0.736,0.00072298,0,0.2,
0.737,0.00072721,0,0.2,
0.738,0.00072964,0,0.2,
0.739,0.00069761,0,0.2,
0.74,0.00070683,0,0.2,
0.741,0.00069809,0,0.2,
0.742,0.00068542,0,0.2,
0.743,0.00070338,0,0.2,
0.744,0.00070493,0,0.2,
0.745,0.00068747,0,0.2,
0.746,0.00069581,0,0.2,
0.747,0.00069772,0,0.2,
0.748,0.00068625,0,0.2,
0.749,0.00068354,0,0.2,
0.75,0.00067092,0,0.2,
0.751,0.00066675,0,0.2,
0.752,0.0006769,0,0.2,
0.753,0.00066278,0,0.2,
0.754,0.00067396,0,0.2,
0.755,0.00066817,0,0.2,
0.756,0.00065136,0,0.2,
0.757,0.0006546,0,0.2,
0.758,0.00065129,0,0.2,
0.759,0.00063551,0,0.2,
0.76,0.00025188,0,0.2,
0.761,0.00018614,0,0.2,
0.762,0.0004056,0,0.2,
0.763,0.00027891,0,0.2,
0.764,0.00035663,0,0.2,
0.765,0.00042381,0,0.2,
0.766,0.00046025,0,0.2,
0.767,0.00052274,0,0.2,
0.768,0.00058169,0,0.2,
0.769,0.00058548,0,0.2,
0.77,0.00058982,0,0.2,
0.771,0.00059531,0,0.2,
0.772,0.00059164,0,0.2,
0.773,0.00058837,0,0.2,
0.774,0.00059462,0,0.2,
0.775,0.00056657,0,0.2,
0.776,0.00058963,0,0.2,
0.777,0.00058423,0,0.2,
0.778,0.00057749,0,0.2,
0.779,0.00057787,0,0.2,
0.78,0.0005693,0,0.2,
0.781,0.00056582,0,0.2,
0.782,0.00057085,0,0.2,
0.783,0.00055887,0,0.2,
0.784,0.00055425,0,0.2,
0.785,0.00055709,0,0.2,
0.786,0.00054551,0,0.2,
0.787,0.00055163,0,0.2,
0.788,0.00054154,0,0.2,
0.789,0.0005429,0,0.2,
0.79,0.00053264,0,0.2,
0.791,0.00053042,0,0.2,
0.792,0.00052054,0,0.2,
0.793,0.00051836,0,0.2,
0.794,0.00051076,0,0.2,
0.795,0.00050897,0,0.2,
0.796,0.00051293,0,0.2,
0.797,0.00051416,0,0.2,
0.798,0.00051476,0,0.2,
0.799,0.00051238,0,0.2,
0.8,0.00049743,0,0.2,
0.801,0.00050353,0,0.2,
0.802,0.00050162,0,0.2,
0.803,0.00049177,0,0.2,
0.804,0.00049472,0,0.2,
0.805,0.00047943,0,0.2,
0.806,0.00049279,0,0.2,
0.807,0.00048718,0,0.2,
0.808,0.000483,0,0.2,
0.809,0.0004722,0,0.2,
0.81,0.00046719,0,0.2,
0.811,0.00047371,0,0.2,
0.812,0.00046684,0,0.2,
0.813,0.00046154,0,0.2,
