WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
2.065,2.9104e-06,0.001253,SAW,1.5,0.44616
2.066,2.9142e-06,0.0012374,SAW,1.5,0.44616
2.067,3.0314e-06,0.0013235,SAW,1.5,0.44616
2.068,3.1212e-06,0.0013826,SAW,1.5,0.44616
2.069,3.1917e-06,0.0014221,SAW,1.5,0.44616
2.07,3.179e-06,0.0014178,SAW,1.5,0.44616
2.071,3.3218e-06,0.0015022,SAW,1.5,0.44616
2.072,3.3403e-06,0.00152,SAW,1.5,0.44616
2.073,3.6169e-06,0.0016906,SAW,1.5,0.44616
2.074,3.6628e-06,0.001717,SAW,1.5,0.44616
2.075,3.816e-06,0.0018044,SAW,1.5,0.44616
2.076,4.0108e-06,0.0019382,SAW,1.5,0.44616
2.077,4.0757e-06,0.0019757,SAW,1.5,0.44616
2.078,3.9727e-06,0.001883,SAW,1.5,0.44616
2.079,4.3722e-06,0.0021816,SAW,1.5,0.44616
2.08,4.4048e-06,0.0022122,SAW,1.5,0.44616
2.081,4.3912e-06,0.002206,SAW,1.5,0.44616
2.082,4.3224e-06,0.0021618,SAW,1.5,0.44616
2.083,4.1498e-06,0.002059,SAW,1.5,0.44616
2.084,4.1742e-06,0.0020779,SAW,1.5,0.44616
2.085,4.0722e-06,0.0019911,SAW,1.5,0.44616
2.086,4.2419e-06,0.0021199,SAW,1.5,0.44616
2.087,4.3464e-06,0.0021927,SAW,1.5,0.44616
2.088,4.344e-06,0.0021929,SAW,1.5,0.44616
2.089,4.3146e-06,0.0021791,SAW,1.5,0.44616
2.09,4.2925e-06,0.0021586,SAW,1.5,0.44616
2.091,4.3498e-06,0.002215,SAW,1.5,0.44616
2.092,4.2778e-06,0.0021798,SAW,1.5,0.44616
2.093,4.3081e-06,0.0021999,SAW,1.5,0.44616
2.094,4.183e-06,0.0020943,SAW,1.5,0.44616
2.095,4.3752e-06,0.0022512,SAW,1.5,0.44616
2.096,4.3847e-06,0.0022608,SAW,1.5,0.44616
2.097,4.4047e-06,0.002272,SAW,1.5,0.44616
2.098,4.3757e-06,0.0022463,SAW,1.5,0.44616
