WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.577,0.0019502,0.031265,SAS,0.25,0.33439
0.578,0.00189,0.030503,SAS,0.25,0.33439
0.579,0.0018632,0.030268,SAS,0.25,0.33439
0.58,0.0019123,0.031261,SAS,0.25,0.33439
0.581,0.0018706,0.030774,SAS,0.25,0.33439
0.582,0.0018837,0.03118,SAS,0.25,0.33439
0.583,0.0018888,0.031458,SAS,0.25,0.33439
0.584,0.0018729,0.031385,SAS,0.25,0.33439
0.585,0.0018435,0.031079,SAS,0.25,0.33439
0.586,0.0017636,0.029904,SAS,0.25,0.33439
0.587,0.0018212,0.031043,SAS,0.25,0.33439
0.588,0.0018005,0.030774,SAS,0.25,0.33439
0.589,0.001613,0.027518,SAS,0.25,0.33439
0.59,0.0016626,0.028546,SAS,0.25,0.33439
0.591,0.0017472,0.030307,SAS,0.25,0.33439
0.592,0.001712,0.029793,SAS,0.25,0.33439
0.593,0.0017017,0.029871,SAS,0.25,0.33439
0.594,0.00171,0.030173,SAS,0.25,0.33439
0.595,0.0016832,0.029833,SAS,0.25,0.33439
0.596,0.0016906,0.030301,SAS,0.25,0.33439
0.597,0.0016938,0.030522,SAS,0.25,0.33439
0.598,0.0016429,0.029821,SAS,0.25,0.33439
0.599,0.0016326,0.029835,SAS,0.25,0.33439
0.6,0.0016238,0.02989,SAS,0.25,0.33439
0.601,0.0015902,0.029471,SAS,0.25,0.33439
0.602,0.0015735,0.029341,SAS,0.25,0.33439
0.603,0.0015756,0.029562,SAS,0.25,0.33439
0.604,0.001614,0.030462,SAS,0.25,0.33439
0.605,0.0016022,0.030418,SAS,0.25,0.33439
0.606,0.0015789,0.03015,SAS,0.25,0.33439
0.607,0.0015608,0.029979,SAS,0.25,0.33439
0.608,0.0015505,0.029951,SAS,0.25,0.33439
0.609,0.001528,0.029688,SAS,0.25,0.33439
0.61,0.0015078,0.029464,SAS,0.25,0.33439
0.611,0.0015107,0.029691,SAS,0.25,0.33439
0.612,0.0014913,0.029476,SAS,0.25,0.33439
0.613,0.0014645,0.029112,SAS,0.25,0.33439
0.614,0.0014087,0.028162,SAS,0.25,0.33439
0.615,0.0014674,0.029503,SAS,0.25,0.33439
0.616,0.0013851,0.028004,SAS,0.25,0.33439
0.617,0.0013971,0.028406,SAS,0.25,0.33439
0.618,0.0014571,0.029793,SAS,0.25,0.33439
0.619,0.0014342,0.029488,SAS,0.25,0.33439
0.62,0.0014518,0.030017,SAS,0.25,0.33439
0.621,0.0014615,0.030384,SAS,0.25,0.33439
0.622,0.0013953,0.029169,SAS,0.25,0.33439
0.623,0.0013962,0.029347,SAS,0.25,0.33439
0.624,0.0013849,0.029271,SAS,0.25,0.33439
0.625,0.0013474,0.028634,SAS,0.25,0.33439
0.626,0.0013479,0.028795,SAS,0.25,0.33439
0.627,0.0013724,0.029453,SAS,0.25,0.33439
0.628,0.0013159,0.027946,SAS,0.25,0.33439
0.629,0.0013642,0.029432,SAS,0.25,0.33439
0.63,0.0013073,0.02834,SAS,0.25,0.33439
0.631,0.0013591,0.029731,SAS,0.25,0.33439
0.632,0.0012722,0.027989,SAS,0.25,0.33439
0.633,0.0013522,0.029951,SAS,0.25,0.33439
0.634,0.0013076,0.029144,SAS,0.25,0.33439
0.635,0.001324,0.029667,SAS,0.25,0.33439
0.636,0.0012778,0.028788,SAS,0.25,0.33439
0.637,0.0013069,0.029599,SAS,0.25,0.33439
0.638,0.0013211,0.030089,SAS,0.25,0.33439
0.639,0.0013002,0.029766,SAS,0.25,0.33439
0.64,0.0012633,0.029074,SAS,0.25,0.33439
0.641,0.0012704,0.029388,SAS,0.25,0.33439
0.642,0.0012496,0.029061,SAS,0.25,0.33439
0.643,0.0012692,0.02966,SAS,0.25,0.33439
0.644,0.0012476,0.02931,SAS,0.25,0.33439
0.645,0.0012554,0.02963,SAS,0.25,0.33439
0.646,0.0012186,0.028853,SAS,0.25,0.33439
0.647,0.0012173,0.028876,SAS,0.25,0.33439
0.648,0.0012252,0.029142,SAS,0.25,0.33439
0.649,0.0012282,0.029364,SAS,0.25,0.33439
0.65,0.0011382,0.027488,SAS,0.25,0.33439
0.651,0.0012192,0.029617,SAS,0.25,0.33439
0.652,0.0011932,0.028937,SAS,0.25,0.33439
0.653,0.0012059,0.029573,SAS,0.25,0.33439
0.654,0.0011899,0.029349,SAS,0.25,0.33439
0.655,0.0011535,0.028491,SAS,0.25,0.33439
0.656,0.00098743,0.024566,SAS,0.25,0.33439
0.657,0.0010274,0.025699,SAS,0.25,0.33439
0.658,0.001146,0.028835,SAS,0.25,0.33439
0.659,0.0011492,0.029083,SAS,0.25,0.33439
0.66,0.0011439,0.029105,SAS,0.25,0.33439
0.661,0.0011463,0.029331,SAS,0.25,0.33439
0.662,0.0011592,0.02982,SAS,0.25,0.33439
0.663,0.0011379,0.029412,SAS,0.25,0.33439
0.664,0.0011176,0.029033,SAS,0.25,0.33439
0.665,0.0011214,0.029275,SAS,0.25,0.33439
0.666,0.00112,0.029382,SAS,0.25,0.33439
0.667,0.0011079,0.029206,SAS,0.25,0.33439
0.668,0.001102,0.029193,SAS,0.25,0.33439
0.669,0.001114,0.029654,SAS,0.25,0.33439
0.67,0.0010944,0.029272,SAS,0.25,0.33439
0.671,0.0010852,0.029163,SAS,0.25,0.33439
0.672,0.0010695,0.02888,SAS,0.25,0.33439
0.673,0.0010762,0.029199,SAS,0.25,0.33439
0.674,0.0010746,0.029293,SAS,0.25,0.33439
0.675,0.0010549,0.028893,SAS,0.25,0.33439
0.676,0.0010687,0.029408,SAS,0.25,0.33439
0.677,0.0010449,0.028891,SAS,0.25,0.33439
0.678,0.0010543,0.029287,SAS,0.25,0.33439
0.679,0.0010383,0.028977,SAS,0.25,0.33439
0.68,0.0010297,0.028872,SAS,0.25,0.33439
0.681,0.0010242,0.028849,SAS,0.25,0.33439
0.682,0.0010203,0.028871,SAS,0.25,0.33439
0.683,0.0010197,0.028987,SAS,0.25,0.33439
0.684,0.0010002,0.028559,SAS,0.25,0.33439
0.685,0.0010073,0.028899,SAS,0.25,0.33439
0.686,0.0009633,0.027755,SAS,0.25,0.33439
0.687,0.0007605,0.019411,SAS,0.25,0.33439
0.688,0.00082434,0.022306,SAS,0.25,0.33439
0.689,0.00082418,0.02244,SAS,0.25,0.33439
0.69,0.00085938,0.02384,SAS,0.25,0.33439
0.691,0.00088735,0.025187,SAS,0.25,0.33439
0.692,0.00090158,0.026079,SAS,0.25,0.33439
0.693,0.00091415,0.02661,SAS,0.25,0.33439
0.694,0.00092908,0.027093,SAS,0.25,0.33439
0.695,0.00092255,0.027267,SAS,0.25,0.33439
0.696,0.00092607,0.027441,SAS,0.25,0.33439
0.697,0.00093568,0.028256,SAS,0.25,0.33439
0.698,0.00091473,0.027743,SAS,0.25,0.33439
0.699,0.0009233,0.02792,SAS,0.25,0.33439
0.7,0.00090757,0.02758,SAS,0.25,0.33439
0.701,0.00088913,0.02712,SAS,0.25,0.33439
0.702,0.00087896,0.026998,SAS,0.25,0.33439
0.703,0.00088147,0.027172,SAS,0.25,0.33439
0.704,0.00088772,0.027609,SAS,0.25,0.33439
0.705,0.00089295,0.027898,SAS,0.25,0.33439
0.706,0.00087943,0.027659,SAS,0.25,0.33439
0.707,0.0008635,0.027292,SAS,0.25,0.33439
0.708,0.00088288,0.028037,SAS,0.25,0.33439
0.709,0.00085266,0.027255,SAS,0.25,0.33439
0.71,0.00086648,0.027799,SAS,0.25,0.33439
0.711,0.00085393,0.027536,SAS,0.25,0.33439
0.712,0.00084186,0.027294,SAS,0.25,0.33439
0.713,0.00083219,0.027083,SAS,0.25,0.33439
0.714,0.00084267,0.027549,SAS,0.25,0.33439
0.715,0.00080774,0.026464,SAS,0.25,0.33439
0.716,0.00082654,0.027174,SAS,0.25,0.33439
0.717,0.00077929,0.02491,SAS,0.25,0.33439
0.718,0.0007579,0.02384,SAS,0.25,0.33439
0.719,0.00072441,0.022293,SAS,0.25,0.33439
0.72,0.0007442,0.023369,SAS,0.25,0.33439
0.721,0.00075095,0.024276,SAS,0.25,0.33439
0.722,0.00078431,0.026357,SAS,0.25,0.33439
0.723,0.00076465,0.025277,SAS,0.25,0.33439
0.724,0.00074966,0.024297,SAS,0.25,0.33439
0.725,0.00073945,0.024074,SAS,0.25,0.33439
0.726,0.00074582,0.024772,SAS,0.25,0.33439
0.727,0.00075019,0.024911,SAS,0.25,0.33439
0.728,0.00073194,0.024285,SAS,0.25,0.33439
0.729,0.00070341,0.02369,SAS,0.25,0.33439
0.73,0.00074041,0.025356,SAS,0.25,0.33439
0.731,0.00071527,0.024308,SAS,0.25,0.33439
0.732,0.00073656,0.025546,SAS,0.25,0.33439
0.733,0.00073088,0.025781,SAS,0.25,0.33439
0.734,0.00074563,0.026477,SAS,0.25,0.33439
0.735,0.00073528,0.026193,SAS,0.25,0.33439
0.736,0.00072065,0.025811,SAS,0.25,0.33439
0.737,0.00072514,0.026059,SAS,0.25,0.33439
0.738,0.00072648,0.026374,SAS,0.25,0.33439
0.739,0.00069475,0.02531,SAS,0.25,0.33439
0.74,0.00070535,0.025859,SAS,0.25,0.33439
0.741,0.00069503,0.02562,SAS,0.25,0.33439
0.742,0.00068184,0.02527,SAS,0.25,0.33439
0.743,0.00069964,0.026048,SAS,0.25,0.33439
0.744,0.00070105,0.026226,SAS,0.25,0.33439
0.745,0.00068358,0.025695,SAS,0.25,0.33439
0.746,0.00069187,0.026115,SAS,0.25,0.33439
0.747,0.00069377,0.026302,SAS,0.25,0.33439
0.748,0.00068235,0.025979,SAS,0.25,0.33439
0.749,0.00067967,0.025988,SAS,0.25,0.33439
0.75,0.00066712,0.025616,SAS,0.25,0.33439
0.751,0.00066301,0.025564,SAS,0.25,0.33439
0.752,0.00067312,0.026063,SAS,0.25,0.33439
0.753,0.0006591,0.025628,SAS,0.25,0.33439
0.754,0.00067024,0.026169,SAS,0.25,0.33439
0.755,0.00066451,0.026052,SAS,0.25,0.33439
0.756,0.0006478,0.025504,SAS,0.25,0.33439
0.757,0.00065103,0.025738,SAS,0.25,0.33439
0.758,0.00064775,0.025713,SAS,0.25,0.33439
0.759,0.00063228,0.025123,SAS,0.25,0.33439
0.76,0.00025401,0.0052538,SAS,0.25,0.33439
0.761,0.00018644,0.0026484,SAS,0.25,0.33439
0.762,0.0004034,0.013424,SAS,0.25,0.33439
0.763,0.00027803,0.0070428,SAS,0.25,0.33439
0.764,0.00035588,0.010864,SAS,0.25,0.33439
0.765,0.00042358,0.014334,SAS,0.25,0.33439
0.766,0.00046027,0.016683,SAS,0.25,0.33439
0.767,0.00052212,0.020162,SAS,0.25,0.33439
0.768,0.00057973,0.023386,SAS,0.25,0.33439
0.769,0.00058372,0.023896,SAS,0.25,0.33439
0.77,0.00058796,0.024366,SAS,0.25,0.33439
0.771,0.0005928,0.024755,SAS,0.25,0.33439
0.772,0.00058889,0.024719,SAS,0.25,0.33439
0.773,0.00058554,0.024686,SAS,0.25,0.33439
0.774,0.00059168,0.025051,SAS,0.25,0.33439
0.775,0.00056369,0.023968,SAS,0.25,0.33439
0.776,0.00058659,0.025044,SAS,0.25,0.33439
0.777,0.00058121,0.024914,SAS,0.25,0.33439
0.778,0.00057451,0.024725,SAS,0.25,0.33439
0.779,0.00057489,0.024838,SAS,0.25,0.33439
0.78,0.00056637,0.024568,SAS,0.25,0.33439
0.781,0.00056292,0.024513,SAS,0.25,0.33439
0.782,0.00056794,0.024828,SAS,0.25,0.33439
0.783,0.00055603,0.024403,SAS,0.25,0.33439
0.784,0.00055145,0.024298,SAS,0.25,0.33439
0.785,0.00055435,0.024513,SAS,0.25,0.33439
0.786,0.00054289,0.024094,SAS,0.25,0.33439
0.787,0.00054939,0.024427,SAS,0.25,0.33439
0.788,0.00053934,0.024045,SAS,0.25,0.33439
0.789,0.00054108,0.024183,SAS,0.25,0.33439
0.79,0.00053138,0.023736,SAS,0.25,0.33439
0.791,0.00052858,0.02379,SAS,0.25,0.33439
0.792,0.0005187,0.023443,SAS,0.25,0.33439
0.793,0.00051659,0.023424,SAS,0.25,0.33439
0.794,0.00050842,0.023259,SAS,0.25,0.33439
0.795,0.0005068,0.02325,SAS,0.25,0.33439
0.796,0.0005115,0.023415,SAS,0.25,0.33439
0.797,0.00051279,0.023577,SAS,0.25,0.33439
0.798,0.00051271,0.023778,SAS,0.25,0.33439
0.799,0.00051047,0.023733,SAS,0.25,0.33439
0.8,0.00049579,0.023102,SAS,0.25,0.33439
0.801,0.00050198,0.023461,SAS,0.25,0.33439
0.802,0.00050011,0.023466,SAS,0.25,0.33439
0.803,0.00049033,0.023089,SAS,0.25,0.33439
0.804,0.00049322,0.023322,SAS,0.25,0.33439
0.805,0.00047781,0.022711,SAS,0.25,0.33439
0.806,0.00049086,0.02347,SAS,0.25,0.33439
0.807,0.0004853,0.023275,SAS,0.25,0.33439
0.808,0.00048113,0.023172,SAS,0.25,0.33439
0.809,0.00047058,0.022714,SAS,0.25,0.33439
0.81,0.00046601,0.02253,SAS,0.25,0.33439
0.811,0.00047268,0.022915,SAS,0.25,0.33439
0.812,0.00046662,0.022579,SAS,0.25,0.33439
0.813,0.00046179,0.022315,SAS,0.25,0.33439
0.814,0.00044727,0.021125,SAS,0.25,0.33439
0.815,0.00044182,0.020937,SAS,0.25,0.33439
0.816,0.00042719,0.019813,SAS,0.25,0.33439
0.817,0.00042878,0.0201,SAS,0.25,0.33439
0.818,0.00042067,0.01974,SAS,0.25,0.33439
0.819,0.0004277,0.020716,SAS,0.25,0.33439
0.82,0.000406,0.019443,SAS,0.25,0.33439
0.821,0.00043427,0.021737,SAS,0.25,0.33439
0.822,0.00042317,0.021085,SAS,0.25,0.33439
0.823,0.00038616,0.017468,SAS,0.25,0.33439
0.824,0.00042592,0.021243,SAS,0.25,0.33439
0.825,0.00042625,0.021455,SAS,0.25,0.33439
0.826,0.00042248,0.021137,SAS,0.25,0.33439
0.827,0.00042831,0.021804,SAS,0.25,0.33439
0.828,0.00040797,0.02005,SAS,0.25,0.33439
0.829,0.00041787,0.021147,SAS,0.25,0.33439
0.83,0.00041032,0.020822,SAS,0.25,0.33439
0.831,0.00040221,0.020519,SAS,0.25,0.33439
0.832,0.00040494,0.020548,SAS,0.25,0.33439
0.833,0.00040271,0.021011,SAS,0.25,0.33439
0.834,0.00040162,0.020863,SAS,0.25,0.33439
0.835,0.00040858,0.021622,SAS,0.25,0.33439
0.836,0.00040787,0.021468,SAS,0.25,0.33439
0.837,0.0004079,0.021757,SAS,0.25,0.33439
0.838,0.00040678,0.021719,SAS,0.25,0.33439
0.839,0.00039276,0.021106,SAS,0.25,0.33439
0.84,0.00040307,0.021755,SAS,0.25,0.33439
0.841,0.00040264,0.021776,SAS,0.25,0.33439
