Frequency (CM-1),Wavelength (Mm),Solar Irradiance (W CM-2 CM-1),Solar Irradiance (W M-2  uM-1)
49629.0,0.201495093594471,1.908e-09,4.699475819028
49628.0,0.20149915370355445,2.544e-09,6.265715248896
49627.0,0.20150321397626292,2.975e-09,7.326946408775
49626.0,0.2015072744126063,3.139e-09,7.730540470764
49625.0,0.20151133501259447,3.446e-09,8.486259593749999
49624.0,0.2015153957762373,3.699e-09,9.108940549824
49623.0,0.20151945670354474,3.415e-09,8.409239870535
49622.0,0.20152351779452662,3.265e-09,8.039549516260001
49621.0,0.20152757904919288,3.2e-09,7.8791796512
49620.0,0.2015316404675534,3.346e-09,8.2383351624
49619.0,0.2015357020496181,3.409e-09,8.393111953849
49618.0,0.20153976379539684,3.466e-09,8.533104572584
49617.0,0.20154382570489954,3.497e-09,8.609077871433
49616.0,0.2015478877781361,3.54e-09,8.71458599424
49615.0,0.2015519500151164,3.432e-09,8.4483767082
49614.0,0.20155601241585036,3.16e-09,7.778494827359999
49613.0,0.2015600749803479,3.205e-09,7.888946509645
49612.0,0.2015641377086189,3.398e-09,8.363669148512
49611.0,0.20156820060067324,3.46e-09,8.515929570660001
49610.0,0.20157226365652087,3.42e-09,8.417140182
49609.0,0.20157632687617166,3.664e-09,9.017297755984
49608.0,0.20158039025963553,3.657e-09,8.999707549248
49607.0,0.20158445380692241,3.378e-09,8.312766328722
49606.0,0.20158851751804216,2.881e-09,7.089435834915999
49605.0,0.20159258139300473,2.546e-09,6.26483023965
49604.0,0.20159664543182002,2.437e-09,5.996376960592
49603.0,0.20160070963449792,2.317e-09,5.700880280053
49602.0,0.20160477400104834,1.91e-09,4.69928455164
49601.0,0.20160883853148123,1.926e-09,4.738459221126001
49600.0,0.20161290322580644,1.864e-09,4.58573824
49599.0,0.20161696808403395,1.358e-09,3.340762567758
49598.0,0.20162103310617363,1.227e-09,3.018372888108
49597.0,0.2016250982922354,1.506e-09,3.704552787954
49596.0,0.20162916364222921,1.427e-09,3.510082109232
49595.0,0.20163322915616494,1.214e-09,2.98603212635
49594.0,0.20163729483405252,1.341e-09,3.298276445076
49593.0,0.20164136067590185,1.558e-09,3.831847481142
