# Wavelength (µm)	RSR
1.2437	0.000000
1.2450	0.000000
1.2462	0.000000
1.2475	0.000000
1.2488	0.000000
1.2501	0.000000
1.2513	0.000000
1.2526	0.000000
1.2539	0.000000
1.2551	0.000000
1.2564	0.000000
1.2577	0.000000
1.2589	0.000000
1.2602	0.000000
1.2615	0.000000
1.2628	0.000000
1.2640	0.000000
1.2653	0.000000
1.2666	0.000000
1.2678	0.000000
1.2691	0.000000
1.2704	0.000000
1.2716	0.000000
1.2729	0.000000
1.2742	0.000000
1.2755	0.000000
1.2767	0.000000
1.2780	0.000000
1.2793	0.000000
1.2805	0.000000
1.2818	0.000000
1.2831	0.000000
1.2843	0.000000
1.2856	0.000000
1.2869	0.000000
1.2882	0.000000
1.2894	0.000000
1.2907	0.000000
1.2920	0.000000
1.2932	0.000000
1.2945	0.000000
1.2958	0.000000
1.2970	0.000000
1.2983	0.000000
1.2996	0.000000
1.3009	0.000000
1.3021	0.000000
1.3034	0.000000
1.3047	0.000000
1.3059	0.000000
1.3072	0.000000
1.3085	0.000000
1.3098	0.000000
1.3110	0.000000
1.3123	0.000000
1.3136	0.000000
1.3148	0.000000
1.3161	0.000000
1.3174	0.000000
1.3186	0.000000
1.3199	0.000000
1.3212	0.000000
1.3225	0.000000
1.3237	0.000000
1.3250	0.000000
1.3263	0.000000
1.3275	0.000000
1.3288	0.000000
1.3301	0.000000
1.3313	0.000000
1.3326	0.000000
1.3339	0.000000
1.3352	0.000000
1.3364	0.000000
1.3377	0.000000
1.3390	0.000000
1.3402	0.000000
1.3415	0.000000
1.3428	0.000000
1.3440	0.000000
1.3453	0.000000
1.3466	0.000000
1.3479	0.000000
1.3491	0.000000
1.3504	0.000000
1.3517	0.000000
1.3529	0.000000
1.3542	0.000000
1.3555	0.000000
1.3567	0.000000
1.3580	0.000000
1.3593	0.000000
1.3606	0.000000
1.3618	0.000000
1.3631	0.000000
1.3644	0.000000
1.3656	0.000000
1.3669	0.000000
1.3682	0.000000
1.3694	0.000000
1.3707	0.000000
1.3720	0.000000
1.3733	0.000000
1.3745	0.000000
1.3758	0.000000
1.3771	0.000000
1.3783	0.000000
1.3796	0.000000
1.3809	0.000000
1.3821	0.000000
1.3834	0.000000
1.3847	0.000000
